step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,train_mean_reward,full_validation_mean_reward
1,2.65326,0.43191,,,,
2,2.93224,0.42446,,,,
3,2.39931,0.46392,,,,
4,3.19634,0.42063,,,,
5,2.60203,0.51955,,,,
6,3.17514,0.44545,,,,
7,3.54444,0.4,,,,
8,3.95605,0.42169,,,,
9,3.57772,0.34756,,,,
10,2.89066,0.41622,3.07799,0.51261,,
11,4.06108,0.30851,,,,
12,3.5895,0.38136,,,,
13,2.44683,0.43182,,,,
14,3.0435,0.36804,,,,
15,3.3414,0.375,,,,
16,2.80457,0.47518,,,,
17,3.24281,0.47059,,,,
18,2.64012,0.37946,,,,
19,3.2246,0.51163,,,,
20,2.7282,0.43519,2.85987,0.46377,,
21,3.10088,0.47273,,,,
22,2.85279,0.40719,,,,
23,2.77045,0.43836,,,,
24,2.01037,0.49763,,,,
25,1.81825,0.56928,,,,
26,3.06093,0.36036,,,,
27,2.46469,0.5,,,,
28,2.72129,0.43137,,,,
29,2.36031,0.42604,,,,
30,2.39557,0.50602,1.61248,0.6069,,
31,2.39143,0.43243,,,,
32,2.59013,0.44149,,,,
33,2.02858,0.54321,,,,
34,2.7659,0.38122,,,,
35,2.94486,0.5,,,,
36,2.6414,0.46341,,,,
37,2.7866,0.37917,,,,
38,2.12575,0.49206,,,,
39,3.0571,0.33186,,,,
40,2.68145,0.39004,3.42773,0.33557,,
41,1.77424,0.59545,,,,
42,2.46346,0.43269,,,,
43,2.63716,0.41509,,,,
44,2.87105,0.4507,,,,
45,2.21973,0.48101,,,,
46,2.34727,0.45652,,,,
47,2.03527,0.46154,,,,
48,1.87018,0.48438,,,,
49,2.21217,0.42667,,,,
50,2.54859,0.4433,2.0373,0.54593,,
51,2.42428,0.37302,,,,
52,2.21964,0.4433,,,,
53,2.13289,0.43069,,,,
54,2.00508,0.50242,,,,
55,2.20314,0.47778,,,,
56,2.24225,0.46462,,,,
57,2.87664,0.33333,,,,
58,2.34614,0.45075,,,,
59,2.31204,0.45528,,,,
60,2.35959,0.41791,2.17516,0.47,,
61,2.34674,0.41935,,,,
62,2.33272,0.46364,,,,
63,1.98996,0.48387,,,,
64,2.02642,0.52734,,,,
65,2.55951,0.44048,,,,
66,2.30713,0.47534,,,,
67,2.2984,0.43396,,,,
68,1.99057,0.58289,,,,
69,2.84366,0.40588,,,,
70,2.5726,0.37838,1.99561,0.52465,,
71,1.93187,0.50754,,,,
72,2.09161,0.51399,,,,
73,2.40995,0.46541,,,,
74,2.44467,0.48235,,,,
75,1.99817,0.47059,,,,
76,2.82607,0.375,,,,
77,2.31295,0.42308,,,,
78,2.81895,0.38462,,,,
79,2.25116,0.49749,,,,
80,2.14827,0.48462,2.1358,0.46597,,
81,2.05008,0.51777,,,,
82,3.22135,0.33898,,,,
83,2.00236,0.46358,,,,
84,2.01148,0.46078,,,,
85,2.7038,0.34356,,,,
86,2.14895,0.48291,,,,
87,1.77538,0.61111,,,,
88,1.93988,0.56522,,,,
89,1.83134,0.51163,,,,
90,2.52184,0.40766,2.93822,0.36301,,
91,2.89308,0.38806,,,,
92,2.54232,0.38554,,,,
93,2.73964,0.43612,,,,
94,2.66198,0.45794,,,,
95,2.24392,0.47973,,,,
96,2.8695,0.3865,,,,
97,1.66546,0.5859,,,,
98,2.29863,0.48505,,,,
99,1.78076,0.55294,,,,
100,1.82704,0.5782,2.66492,0.39412,,
101,2.34891,0.47482,,,,
102,2.81585,0.365,,,,
103,2.36525,0.45374,,,,
104,2.24596,0.46154,,,,
105,2.28171,0.37179,,,,
106,2.25354,0.49133,,,,
107,1.59037,0.56316,,,,
108,2.18473,0.45669,,,,
109,2.23885,0.49828,,,,
110,1.81493,0.55263,2.2879,0.51761,,
111,1.64034,0.56281,,,,
112,2.65942,0.42982,,,,
113,2.60215,0.38261,,,,
114,2.41221,0.45333,,,,
115,2.10987,0.52229,,,,
116,2.23106,0.47568,,,,
117,2.01962,0.51003,,,,
118,2.00902,0.48387,,,,
119,2.05367,0.46512,,,,
120,1.65647,0.609,2.02193,0.53448,,
121,1.86884,0.55973,,,,
122,2.0151,0.49351,,,,
123,2.99886,0.35897,,,,
124,2.14974,0.525,,,,
125,2.79852,0.36946,,,,
126,2.3696,0.45087,,,,
127,2.12376,0.47768,,,,
128,2.63239,0.38202,,,,
129,2.42345,0.47619,,,,
130,2.60526,0.42308,2.36282,0.42574,,
131,2.57225,0.40244,,,,
132,2.07332,0.48571,,,,
133,2.15102,0.51965,,,,
134,2.4824,0.42935,,,,
135,2.5516,0.42925,,,,
136,3.53373,0.30189,,,,
137,1.72017,0.5,,,,
138,2.92791,0.2931,,,,
139,2.34947,0.475,,,,
140,2.2406,0.44118,2.38374,0.47059,,
141,1.79543,0.52422,,,,
142,2.33316,0.42754,,,,
143,2.94295,0.40179,,,,
144,2.23804,0.47418,,,,
145,2.55672,0.45486,,,,
146,2.26034,0.4,,,,
147,2.54092,0.37712,,,,
148,2.44451,0.45238,,,,
149,2.22857,0.5,,,,
150,2.07211,0.4878,3.25023,0.33333,,
151,2.27452,0.47709,,,,
152,2.10218,0.48423,,,,
153,2.54228,0.44206,,,,
154,2.49846,0.36667,,,,
155,2.38027,0.43396,,,,
156,2.71654,0.48905,,,,
157,2.12347,0.51429,,,,
158,2.20767,0.43736,,,,
159,2.09709,0.50384,,,,
160,1.49812,0.66667,1.99512,0.55484,,
161,1.9986,0.44025,,,,
162,2.71205,0.45752,,,,
163,2.48203,0.39062,,,,
164,2.12309,0.5,,,,
165,1.91487,0.51546,,,,
166,2.58881,0.44545,,,,
167,2.64664,0.41089,,,,
168,2.07275,0.49524,,,,
169,2.89507,0.39535,,,,
170,2.42551,0.48958,2.3713,0.42574,,
171,2.53975,0.41593,,,,
172,2.22114,0.47482,,,,
173,2.03225,0.5,,,,
174,2.2803,0.44545,,,,
175,2.37377,0.45833,,,,
176,2.54703,0.424,,,,
177,2.10266,0.47917,,,,
178,2.54916,0.41633,,,,
179,2.49063,0.48529,,,,
180,2.10769,0.52265,2.32711,0.50725,,
181,2.89554,0.36214,,,,
182,2.25624,0.52727,,,,
183,2.59529,0.48837,,,,
184,2.45015,0.45125,,,,
185,2.39556,0.4527,,,,
186,1.83341,0.50676,,,,
187,2.11743,0.52836,,,,
188,2.24823,0.43902,,,,
189,2.15701,0.46825,,,,
190,3.29254,0.33566,1.96856,0.55381,,
191,2.08849,0.52174,,,,
192,2.56412,0.41475,,,,
193,2.40444,0.42824,,,,
194,1.91248,0.53731,,,,
195,2.59668,0.51515,,,,
196,1.64313,0.60684,,,,
197,1.78169,0.52857,,,,
198,1.92077,0.56175,,,,
199,4.08959,0.28571,,,,
200,3.12975,0.36508,2.40308,0.47059,,
201,1.55206,0.62319,,,,
202,2.09751,0.50173,,,,
203,2.00891,0.52381,,,,
204,2.10579,0.51304,,,,
205,1.9623,0.52,,,,
206,2.43348,0.46829,,,,
207,2.77846,0.38614,,,,
208,2.19602,0.54639,,,,
209,2.02715,0.46078,,,,
210,1.90706,0.52874,1.48236,0.6069,,
211,2.93558,0.37107,,,,
212,2.26207,0.48718,,,,
213,2.23612,0.46857,,,,
214,3.10207,0.36,,,,
215,1.97079,0.48182,,,,
216,3.5558,0.28378,,,,
217,2.154,0.54622,,,,
218,2.54302,0.41935,,,,
219,1.94049,0.47009,,,,
220,2.39071,0.42149,2.13134,0.51,,
221,1.94889,0.56757,,,,
222,2.40543,0.47867,,,,
223,2.56391,0.47222,,,,
224,1.83588,0.51579,,,,
225,2.9309,0.38211,,,,
226,2.28789,0.43307,,,,
227,2.3424,0.47706,,,,
228,1.66532,0.57143,,,,
229,2.27416,0.47951,,,,
230,2.13888,0.43836,3.22772,0.32184,,
231,1.68537,0.51471,,,,
232,2.70206,0.44094,,,,
233,1.47765,0.57895,,,,
234,1.94313,0.54634,,,,
235,2.97257,0.40268,,,,
236,2.14131,0.49782,,,,
237,2.34203,0.50602,,,,
238,2.45017,0.41471,,,,
239,2.1124,0.48322,,,,
240,2.01836,0.51553,1.98333,0.52817,,
241,2.79576,0.40394,,,,
242,1.9462,0.53165,,,,
243,2.39317,0.41463,,,,
244,2.4183,0.42177,,,,
245,3.14105,0.39806,,,,
246,2.05785,0.59091,,,,
247,2.66732,0.45556,,,,
248,1.99364,0.52465,,,,
249,2.29768,0.40441,,,,
250,1.81247,0.52889,2.64382,0.40588,,
251,2.4391,0.43256,,,,
252,3.0059,0.38043,,,,
253,2.58427,0.47619,,,,
254,1.98177,0.53608,,,,
255,2.43971,0.37436,,,,
256,2.44716,0.48299,,,,
257,2.20406,0.48603,,,,
258,2.39353,0.44681,,,,
259,2.18429,0.46154,,,,
260,2.0104,0.57895,3.25831,0.34228,,
261,1.94687,0.55714,,,,
262,2.70822,0.41985,,,,
263,1.88891,0.51163,,,,
264,2.01655,0.46818,,,,
265,2.67914,0.42276,,,,
266,1.92755,0.48913,,,,
267,2.84407,0.33333,,,,
268,2.43833,0.40529,,,,
269,1.9362,0.48819,,,,
270,1.67147,0.56842,2.25645,0.52465,,
271,1.98433,0.49057,,,,
272,2.29649,0.5493,,,,
273,2.05882,0.52993,,,,
274,1.86014,0.52648,,,,
275,2.03942,0.52326,,,,
276,2.04096,0.49724,,,,
277,1.90684,0.54825,,,,
278,2.39161,0.472,,,,
279,1.93707,0.54605,,,,
280,2.33581,0.45968,2.90954,0.34247,,
281,3.44821,0.32,,,,
282,2.02671,0.48739,,,,
283,3.53076,0.32627,,,,
284,1.96889,0.47449,,,,
285,1.65547,0.54023,,,,
286,2.31483,0.49315,,,,
287,1.98691,0.4878,,,,
288,1.99421,0.5,,,,
289,2.25981,0.49057,,,,
290,2.0345,0.52268,2.1085,0.48168,,
291,1.88997,0.48182,,,,
292,2.21824,0.48636,,,,
293,1.906,0.51982,,,,
294,2.52838,0.4127,,,,
295,1.93045,0.5,,,,
296,1.64981,0.59783,,,,
297,2.07033,0.47984,,,,
298,3.09727,0.42162,,,,
299,2.18145,0.45982,,,,
300,2.44006,0.425,1.97327,0.55172,,
301,2.43935,0.41791,,,,
302,1.84328,0.57983,,,,
303,2.63134,0.40854,,,,
304,2.31366,0.51825,,,,
305,1.65067,0.59091,,,,
306,1.507,0.61053,,,,
307,1.98835,0.55814,,,,
308,1.62072,0.55814,,,,
309,2.24765,0.52653,,,,
310,1.97988,0.47967,2.17186,0.51261,,
311,2.32044,0.42331,,,,
312,1.89402,0.54217,,,,
313,2.18086,0.45238,,,,
314,2.19805,0.49091,,,,
315,2.34903,0.4433,,,,
316,1.93609,0.5198,,,,
317,1.88583,0.52,,,,
318,1.8612,0.55052,,,,
319,2.05592,0.52159,,,,
320,2.29323,0.49673,1.99593,0.54194,,
321,1.67264,0.5625,,,,
322,1.82098,0.56098,,,,
323,2.17921,0.44792,,,,
324,1.67369,0.5561,,,,
325,2.09284,0.48458,,,,
326,1.62341,0.60618,,,,
327,1.79521,0.53295,,,,
328,1.46632,0.59111,,,,
329,1.85741,0.56364,,,,
330,1.72222,0.59794,2.61325,0.41176,,
331,1.5322,0.6019,,,,
332,2.45741,0.42083,,,,
333,1.60091,0.57709,,,,
334,2.35418,0.47321,,,,
335,1.62707,0.53261,,,,
336,2.36198,0.52727,,,,
337,2.17845,0.44505,,,,
338,2.09668,0.41026,,,,
339,2.1526,0.51111,,,,
340,1.55539,0.55696,2.36569,0.42574,,
341,1.67536,0.51969,,,,
342,1.67466,0.59006,,,,
343,2.46803,0.45509,,,,
344,2.2652,0.45405,,,,
345,1.63508,0.50685,,,,
346,1.79302,0.58025,,,,
347,1.73292,0.54545,,,,
348,2.37018,0.48133,,,,
349,2.48347,0.43077,,,,
350,1.95199,0.53211,2.00893,0.54194,,
351,1.67442,0.5625,,,,
352,2.06415,0.47727,,,,
353,2.21496,0.43644,,,,
354,2.44942,0.45912,,,,
355,2.2617,0.46341,,,,
356,2.39279,0.41026,,,,
357,1.58178,0.5641,,,,
358,1.74265,0.53521,,,,
359,1.77218,0.56294,,,,
360,1.91142,0.56216,2.1571,0.45026,,
361,2.57013,0.44841,,,,
362,2.14977,0.4382,,,,
363,1.8976,0.47333,,,,
364,2.66626,0.39837,,,,
365,1.894,0.57831,,,,
366,2.54383,0.42387,,,,
367,2.02822,0.52683,,,,
368,2.32911,0.45802,,,,
369,1.09461,0.65789,,,,
370,2.12597,0.46269,1.97716,0.55118,,
371,1.36114,0.64706,,,,
372,1.37726,0.58268,,,,
373,2.03191,0.46538,,,,
374,1.99064,0.48132,,,,
375,1.81914,0.59893,,,,
376,1.25573,0.6413,,,,
377,1.92116,0.53741,,,,
378,1.42071,0.65166,,,,
379,1.93475,0.47059,,,,
380,1.58994,0.63636,2.92627,0.34247,,
381,1.86743,0.53153,,,,
382,2.21826,0.48031,,,,
383,2.26588,0.48249,,,,
384,1.56409,0.60751,,,,
385,1.79341,0.56156,,,,
386,2.14711,0.52679,,,,
387,2.11737,0.43137,,,,
388,2.09104,0.52212,,,,
389,1.83252,0.58389,,,,
390,0.7761,0.76316,3.31593,0.34483,,
391,1.73403,0.4902,,,,
392,2.78145,0.37762,,,,
393,2.11685,0.42667,,,,
394,2.12638,0.49593,,,,
395,2.70127,0.38983,,,,
396,2.4448,0.42857,,,,
397,1.66929,0.58333,,,,
398,1.14132,0.67089,,,,
399,1.57592,0.5812,,,,
400,1.70384,0.59231,2.36091,0.46377,,
401,1.39365,0.5977,,,,
402,1.67937,0.52747,,,,
403,1.31062,0.61111,,,,
404,2.52987,0.40268,,,,
405,1.98362,0.53279,,,,
406,1.93675,0.52,,,,
407,1.57333,0.60825,,,,
408,1.51795,0.60825,,,,
409,1.73368,0.49686,,,,
410,1.74605,0.52518,2.31096,0.50704,,
411,2.43509,0.44335,,,,
412,1.84924,0.47244,,,,
413,2.15518,0.53659,,,,
414,1.56645,0.5894,,,,
415,1.37734,0.59302,,,,
416,1.89644,0.58462,,,,
417,2.01869,0.50676,,,,
418,1.72506,0.53333,,,,
419,1.98628,0.57576,,,,
420,2.61743,0.42718,2.12724,0.55172,,
421,2.06281,0.53631,,,,
422,1.30213,0.62222,,,,
423,1.57565,0.58182,,,,
424,1.71948,0.53636,,,,
425,1.68327,0.58167,,,,
426,1.81056,0.48718,,,,
427,1.73462,0.5566,,,,
428,1.84588,0.51786,,,,
429,2.16508,0.54264,,,,
430,1.71817,0.59615,2.21474,0.53782,,
431,2.00785,0.4717,,,,
432,1.97869,0.51445,,,,
433,1.62086,0.60909,,,,
434,2.53511,0.41441,,,,
435,1.88318,0.55732,,,,
436,1.87707,0.51818,,,,
437,1.54906,0.56579,,,,
438,2.17938,0.47392,,,,
439,2.00884,0.46377,,,,
440,2.39248,0.45,2.1831,0.51,,
441,1.62205,0.57714,,,,
442,2.17662,0.5036,,,,
443,1.86933,0.55022,,,,
444,2.51598,0.43478,,,,
445,1.60472,0.57843,,,,
446,2.28215,0.4507,,,,
447,2.16445,0.46774,,,,
448,2.10206,0.49533,,,,
449,2.12213,0.48077,,,,
450,1.21708,0.69565,3.3179,0.34228,,
451,1.81225,0.53043,,,,
452,1.82472,0.56349,,,,
453,2.09053,0.44865,,,,
454,2.73867,0.36726,,,,
455,2.06122,0.4881,,,,
456,2.18915,0.45486,,,,
457,1.87492,0.57647,,,,
458,2.20635,0.51744,,,,
459,1.59915,0.61905,,,,
460,1.94445,0.52,1.44524,0.5931,,
461,1.58478,0.56604,,,,
462,2.11532,0.46341,,,,
463,2.07206,0.48889,,,,
464,1.77517,0.54878,,,,
465,2.11546,0.52361,,,,
466,1.63975,0.49612,,,,
467,2.78021,0.40952,,,,
468,1.90519,0.55491,,,,
469,2.43285,0.43529,,,,
470,2.07303,0.50462,1.50985,0.57394,,
471,1.25803,0.64286,,,,
472,1.70364,0.51531,,,,
473,1.6711,0.56098,,,,
474,2.17835,0.43137,,,,
475,2.01772,0.5,,,,
476,2.38985,0.43558,,,,
477,2.94218,0.34906,,,,
478,2.21455,0.5,,,,
479,1.8494,0.54325,,,,
480,1.65868,0.5283,2.44003,0.45882,,
481,2.0636,0.48246,,,,
482,2.49475,0.3617,,,,
483,1.826,0.56757,,,,
484,1.79626,0.56522,,,,
485,1.77466,0.55469,,,,
486,2.41389,0.45813,,,,
487,2.25814,0.44595,,,,
488,2.14588,0.475,,,,
489,1.95325,0.51818,,,,
490,1.66648,0.58458,2.19034,0.4555,,
491,1.58347,0.61905,,,,
492,1.46766,0.61674,,,,
493,2.06267,0.53363,,,,
494,2.99976,0.36,,,,
495,1.64718,0.52941,,,,
496,1.657,0.6381,,,,
497,1.61065,0.55814,,,,
498,1.1819,0.68116,,,,
499,1.9744,0.51256,,,,
500,2.30693,0.47945,2.39907,0.40594,,
501,2.27387,0.47733,,,,
502,1.74774,0.49573,,,,
503,2.97816,0.42857,,,,
504,1.89804,0.49721,,,,
505,2.0154,0.5283,,,,
506,1.80207,0.50588,,,,
507,2.21003,0.45139,,,,
508,1.84105,0.56164,,,,
509,1.73806,0.58011,,,,
510,2.15312,0.45109,1.99482,0.54856,,
511,2.11321,0.48193,,,,
512,2.23481,0.44578,,,,
513,1.66394,0.57632,,,,
514,1.90983,0.56028,,,,
515,1.8521,0.5,,,,
516,2.42108,0.43069,,,,
517,2.40558,0.4065,,,,
518,1.67174,0.53247,,,,
519,3.21698,0.35169,,,,
520,2.03848,0.41739,2.3756,0.49275,,
521,1.92134,0.4875,,,,
522,1.87377,0.53175,,,,
523,2.18988,0.44118,,,,
524,2.48664,0.33898,,,,
525,2.20514,0.47674,,,,
526,2.03953,0.47934,,,,
527,1.76169,0.56395,,,,
528,1.85478,0.57313,,,,
529,1.88333,0.52653,,,,
530,2.70496,0.44915,2.42444,0.45882,,
531,1.87738,0.50773,,,,
532,1.69377,0.57619,,,,
533,1.9425,0.50314,,,,
534,1.47233,0.57286,,,,
535,2.08375,0.50926,,,,
536,1.18241,0.64368,,,,
537,2.07657,0.48299,,,,
538,0.91067,0.7971,,,,
539,1.32907,0.63158,,,,
540,3.05558,0.35135,2.67699,0.39412,,
541,2.33151,0.44865,,,,
542,2.09399,0.46512,,,,
543,1.64501,0.57895,,,,
544,2.24911,0.40476,,,,
545,2.07382,0.54688,,,,
546,2.09983,0.53448,,,,
547,2.33942,0.49339,,,,
548,1.79912,0.55838,,,,
549,1.54681,0.60811,,,,
550,1.52977,0.51613,2.27703,0.52101,,
551,1.94653,0.47337,,,,
552,1.32775,0.64211,,,,
553,1.57136,0.57724,,,,
554,2.16853,0.51773,,,,
555,1.9922,0.53459,,,,
556,2.27336,0.47525,,,,
557,2.15723,0.46256,,,,
558,1.60515,0.60294,,,,
559,2.2896,0.44828,,,,
560,1.93657,0.53957,3.33116,0.33333,,
561,1.81213,0.52133,,,,
562,2.16686,0.5237,,,,
563,2.00633,0.52347,,,,
564,2.16816,0.49057,,,,
565,1.66876,0.59278,,,,
566,1.75921,0.55072,,,,
567,2.41835,0.44,,,,
568,1.42304,0.55294,,,,
569,2.12128,0.48148,,,,
570,1.71652,0.60256,2.94092,0.36301,,
571,1.79876,0.5121,,,,
572,2.06218,0.48438,,,,
573,2.27662,0.47059,,,,
574,1.72178,0.54202,,,,
575,1.61039,0.59155,,,,
576,2.06991,0.49275,,,,
577,1.80974,0.53964,,,,
578,1.77923,0.54701,,,,
579,1.23168,0.64824,,,,
580,2.0519,0.46429,1.55729,0.56338,,
581,1.86025,0.56332,,,,
582,1.64809,0.58133,,,,
583,1.48051,0.60811,,,,
584,2.36124,0.45856,,,,
585,1.37816,0.61429,,,,
586,2.22265,0.45161,,,,
587,2.11379,0.47761,,,,
588,1.65766,0.63158,,,,
589,1.59369,0.64286,,,,
590,1.31113,0.63675,2.29324,0.51761,,
591,1.9228,0.5189,,,,
592,2.08163,0.47312,,,,
593,1.6707,0.57353,,,,
594,2.01396,0.50149,,,,
595,1.86621,0.51163,,,,
596,1.88767,0.57516,,,,
597,2.42173,0.4336,,,,
598,1.83836,0.52778,,,,
599,1.51623,0.65241,,,,
600,2.03728,0.48066,1.52254,0.6069,,
601,1.43177,0.60432,,,,
602,1.47759,0.56633,,,,
603,2.11315,0.48824,,,,
604,1.60601,0.57921,,,,
605,1.90163,0.56115,,,,
606,1.95404,0.56686,,,,
607,1.24501,0.59829,,,,
608,1.68812,0.55155,,,,
609,1.92098,0.50847,,,,
610,1.63989,0.56401,2.06255,0.54839,,
611,1.71039,0.68293,,,,
612,1.384,0.64474,,,,
613,2.36528,0.60714,,,,
614,1.63254,0.61194,,,,
615,1.20049,0.68957,,,,
616,1.82559,0.53812,,,,
617,1.28786,0.65625,,,,
618,1.93702,0.525,,,,
619,1.84842,0.52381,,,,
620,1.00177,0.65116,3.42116,0.32215,,
621,1.94231,0.48795,,,,
622,1.61965,0.61272,,,,
623,2.69014,0.45946,,,,
624,1.82058,0.47333,,,,
625,1.38618,0.69231,,,,
626,2.5657,0.4254,,,,
627,0.99619,0.71357,,,,
628,1.27859,0.70476,,,,
629,1.54879,0.61745,,,,
630,1.77483,0.56589,2.14148,0.53448,,
631,0.91508,0.72619,,,,
632,1.75662,0.52885,,,,
633,2.02864,0.50943,,,,
634,1.88182,0.4973,,,,
635,1.85774,0.58824,,,,
636,1.49676,0.6383,,,,
637,1.7483,0.54774,,,,
638,1.33735,0.62727,,,,
639,1.31797,0.62555,,,,
640,1.83886,0.50407,2.25673,0.505,,
641,1.40344,0.57647,,,,
642,1.66672,0.57303,,,,
643,2.01241,0.48387,,,,
